date	time	milli	price	qty	turnover	cumOpenint	yp	bid	bid.qty	ask	ask.qty	cum.qty	cum.turnover
20210421	21:00:55	0	13875	20	2774600.0	223075	13910	13870	121	13880	115	6192	858446400
20210421	21:00:55	500	13870	5	693700.0	223074	13910	13870	121	13875	6	6197	859140100
20210421	21:00:56	0	13875	4	555000.0	223074	13910	13870	123	13875	29	6201	859695100
20210421	21:00:56	500	13875	3	416250.0	223076	13910	13870	123	13875	35	6204	860111350
20210421	21:00:57	0	13870	4	554950.0	223073	13910	13870	122	13875	33	6208	860666300
20210421	21:00:57	500	13875	11	1526000.0	223067	13910	13870	120	13875	40	6219	862192300
20210421	21:00:58	0	13875	5	693650.0	223069	13910	13870	118	13875	42	6224	862885950
20210421	21:00:58	500	13875	47	6521200.0	223044	13910	13870	118	13875	13	6271	869407150
20210421	21:00:59	0	13875	5	693750.0	223049	13910	13870	120	13875	11	6276	870100900
20210421	21:00:59	500	13875	5	693700.0	223047	13910	13870	123	13875	34	6281	870794600
20210421	21:01:00	0	13875	14	1942500.0	223055	13910	13870	140	13875	31	6295	872737100
20210421	21:01:00	500	13870	21	2913000.0	223055	13910	13870	122	13875	23	6316	875650100
20210421	21:01:01	0	13875	70	9711200.0	223081	13910	13870	102	13875	16	6386	885361300
20210421	21:01:01	500	13875	5	693750.0	223076	13910	13870	112	13875	52	6391	886055050
20210421	21:01:02	0	13875	11	1525850.0	223082	13910	13870	115	13875	55	6402	887580900
20210421	21:01:02	500	13875	20	2774100.0	223071	13910	13870	98	13875	72	6422	890355000
20210421	21:01:03	0	13870	119	16505300.0	223074	13910	13865	135	13870	8	6541	906860300
20210421	21:01:03	500	13865	9	1248200.0	223074	13910	13865	138	13870	42	6550	908108500
20210421	21:01:04	0	13870	26	3606150.0	223069	13910	13865	138	13870	23	6576	911714650
20210421	21:01:04	500	13870	39	5409300.0	223086	13910	13870	2	13875	87	6615	917123950
20210421	21:01:05	0	13865	64	8876750.0	223084	13910	13870	10	13875	96	6679	926000700
20210421	21:01:05	500	13870	63	8738150.0	223088	13910	13870	2	13875	96	6742	934738850
20210421	21:01:06	0	13870	42	5825450.0	223082	13910	13870	6	13875	99	6784	940564300
20210421	21:01:06	500	13875	29	4022650.0	223083	13910	13870	2	13875	104	6813	944586950
20210421	21:01:07	0	13870	34	4715900.0	223084	13910	13870	7	13875	103	6847	949302850
20210421	21:01:07	500	13875	26	3606400.0	223104	13910	13865	154	13875	103	6873	952909250
20210421	21:01:08	0	13870	8	1109550.0	223111	13910	13865	155	13870	22	6881	954018800
20210421	21:01:08	500	13870	55	7628500.0	223073	13910	13865	159	13870	17	6936	961647300
20210421	21:01:09	0	13870	36	4993200.0	223057	13910	13865	161	13870	12	6972	966640500
20210421	21:01:09	500	13865	188	26066450.0	223119	13910	13860	105	13865	1	7160	992706950
20210421	21:01:10	0	13865	15	2079750.0	223119	13910	13860	111	13865	17	7175	994786700
20210421	21:01:10	500	13865	28	3882200.0	223125	13910	13860	108	13865	3	7203	998668900
